#wave,Ion,Ei (eV),Ek (eV),Configurations,Terms,Ji - Jk,Type  (if not E1),Creation IP (eV),Observation References,Type,physical_basis,intrinsic_ratio,is_doublet,doublet_id,doublet_member
1206.5,Si III,-,-,-,-,-,E1,-,Savage+2001,-,-,-,FALSE,-,-
1215.67,Lyα,0,10.199,1s - 2,2S -,1/2 -,E1,0,VB01,-,-,-,FALSE,-,-
1238.821,N V,0,10.008,1s22s - 1s22p,2S - 2Po,1/2-3/2,E1,77.47,FO87,resonance,f-value,1,TRUE,N V|1s22s - 1s22p|2S - 2Po,1
1242.804,N V,0,9.976,1s22s - 1s22p,2S - 2Po,1/2-1/2,E1,77.47,FO87,resonance,f-value,0.5,TRUE,N V|1s22s - 1s22p|2S - 2Po,2
1260.422,Si II,0,9.837,3s23p - 3s23d,2P0 - 2D,1/2 - 3/2,E1,8.15,LM04,-,-,-,FALSE,-,-
1264.73,Si II,0.036,9.839,3s23p - 3s23d,2P0 - 2D,3/2 - 5/2,E1,8.15,LM04,-,-,-,FALSE,-,-
1302.168,O I,0,9.521,2s22p4 - 2s22p3(4S0)3s,3P - 3S0,2 - 1,E1,0,VB01,-,-,-,FALSE,-,-
1334.532,C II,0,9.29,2s22p - 2s2p2,2P0 - 2D,1/2 - 3/2,E1,11.26,LM04,-,-,-,FALSE,-,-
1335.708,C II,0.008,9.29,2s22p - 2s2p2,2P0 - 2D,3/2 - 5/2,E1,11.26,LM04,-,-,-,FALSE,-,-
1355.598,O I,0.000,9.145,2p4 3P - 2p3(4S)3s,3P - 5S0,2 - 2,M1+E2,13.618,M03;NIST,intercombination,spin-forbidden,1,FALSE,,0
1393.755,Si IV,0,8.896,2p63s - 2p63p,2S - 2Po,1/2-3/2,E1,33.49,VB01,resonance,f-value,1,TRUE,Si IV|2p63s - 2p63p|2S - 2Po,1
1397.232,O IV],0,8.874,2s22p - 2s2p2,2P0 - 4P,1/2-3/2,E1,54.93,-,semiforbidden,environment dependent,1,TRUE,O IV]|2s22p - 2s2p2|2P0 - 4P,1
1399.78,O IV],0,8.857,2s22p - 2s2p2,2P0 - 4P,1/2-1/2,E1,54.93,-,semiforbidden,environment dependent,-,TRUE,O IV]|2s22p - 2s2p2|2P0 - 4P,2
1402.77,Si IV,0,8.839,2p63s - 2p63p,2S - 2Po,1/2-1/2,E1,33.49,VB01,resonance,f-value,0.5,TRUE,Si IV|2p63s - 2p63p|2S - 2Po,2
1486.496,N IV],0,8.341,1s22s2 - 1s22s2p,1S - 3P0,0 - 1,E1,47.45,FO87,-,-,-,FALSE,-,-
1548.187,C IV,0,8.008,1s22s - 1s22p,2S - 2Po,1/2-3/2,E1,47.89,-,resonance,f-value,1,TRUE,C IV|1s22s - 1s22p|2S - 2Po,1
1550.772,C IV,0,7.995,1s22s - 1s22p,2S - 2Po,1/2-1/2,E1,47.89,-,resonance,f-value,0.5,TRUE,C IV|1s22s - 1s22p|2S - 2Po,2
1640.42,He II,40.813,48.371,-,-,-,E1,54.42,FO87,-,-,-,FALSE,-,-
1660.809,O III],0.014,7.479,2s22p2 - 2s2p3,3P - 5So,1 - 2,E1,35.12,FO87,semiforbidden,A-value,1,TRUE,O III]|2s22p2 - 2s2p3|3P - 5So,1
1666.15,O III],0.038,7.479,2s22p2 - 2s2p3,3P - 5So,2 - 2,E1,35.12,FO87,semiforbidden,A-value,2.5,TRUE,O III]|2s22p2 - 2s2p3|3P - 5So,2
1746.823,N III],0,7.098,2s22p - 2s2p2,2P0 - 4P,1/2-3/2,E1,29.6,VB01,semiforbidden,A-value,1,TRUE,N III]|2s22p - 2s2p2|2P0 - 4P,1
1748.656,N III],0,7.09,2s22p - 2s2p2,2P0 - 4P,1/2-1/2,E1,29.6,VB01,semiforbidden,A-value,1,TRUE,N III]|2s22p - 2s2p2|2P0 - 4P,2
1854.716,Al III,0,6.685,2p63s - 2p63p,2S - 2Po,1/2-3/2,E1,18.83,VB01,resonance,f-value,1,TRUE,Al III|2p63s - 2p63p|2S - 2Po,1
1862.79,Al III,0,6.656,2p63s - 2p63p,2S - 2Po,1/2-1/2,E1,18.83,VB01,resonance,f-value,0.5,TRUE,Al III|2p63s - 2p63p|2S - 2Po,2
1882.71,Si III],0,6.585,3s2 - 3s3p,1S0 - 3P0,0-2,M2,16.35,-,forbidden,environment dependent,1,TRUE,[Si III]|3s2 - 3s3p|1S0 - 3P0,1
1892.03,Si III],0,6.553,3s2 - 3s3p,1S0 - 3P0,0-1,E1,16.35,-,intercombination,environment dependent,-,TRUE,[Si III]|3s2 - 3s3p|1S0 - 3P0,2
1906.68,C III],-,-,-,-,-,E1,-,-,-,-,-,FALSE,-,-
1908.734,C III],0,6.496,1s22s2 - 1s22s2p,1S - 3P0,0 - 1,E1,24.38,FO87,-,-,-,FALSE,-,-
2142.78,N II],0.016,5.801,2s22p2 - 2s2p3,3P - 5S0,2 - 2,E1,14.53,LM04,-,-,-,FALSE,-,-
2320.951,[O III],0.014,5.354,2s22p2 - 2s22p2,3P-1S,1 - 0,M1,35.12,FO87,-,-,-,FALSE,-,-
2323.5,C II],0,5.334,2s22p - 2s22p,2P0 - 4P,1/2-3/2,E1,11.26,LM04,-,-,-,FALSE,-,-
2324.69,C II],0,5.332,2s22p - 2s22p,2P0 - 4P,1/2-1/2,E1,11.26,LM04,-,-,-,FALSE,-,-
2648.71,[Fe XI],0,4.68,3s23p4 - 3s23p4,3P-1D,2 - 2,M1,262.1,P98,-,-,-,FALSE,-,-
2733.289,He II,48.371,52.906,-,-,-,E1,54.42,T00,-,-,-,FALSE,-,-
2782.7,[Mg V],0,4.454,2s22p4 - 2s22p4,3P-1D,45690,M1,109.24,R11,-,-,-,FALSE,-,-
2795.528,Mg II],0,4.434,2p63s - 2p63p,2S - 2P0,1/2-3/2,E1,7.65,R11,-,-,-,FALSE,-,-
2802.705,Mg II],0,4.422,2p63s - 2p63p,2S - 2Po,1/2-1/2,E1,7.65,R11,-,-,-,FALSE,-,-
2829.36,[Fe IV],0,4.381,3d5 - 3d5,6S-4P,5/2-3/2,M1,30.65,R11,-,-,-,FALSE,-,-
