name,ion,rest_wavelength_angstrom,oscillator_strength,damping_constant_s,atomic_mass_amu,q_coefficient_cminv,group,reference
C12I**_1140,C12I**,1140.64150,0.00172,6280000.0,12.0,,C12I**,M03
C12I*_1140,C12I*,1140.35760,0.00207,6380000.0,,,C12I*,M03-21u
C12I**_1140,C12I**,1140.11670,0.00358,18400000.0,12.0,,C12I**,M03
C12I_1140,C12I,1140.00960,0.00356,6090000.0,,,C12I,M03-21.01
C12I*_1140,C12I*,1140.00530,0.00184,9440000.0,,,C12I*,M03
C12I**_1139,C12I**,1139.86510,0.000252,1300000.0,12.0,,C12I**,M03
C12I**_1139,C12I**,1139.81210,0.00806,29600000.0,12.0,,C12I**,M03
C12I_1139,C12I,1139.79190,0.0123,21000000.0,,,C12I,M03-22u
C12I*_1139,C12I*,1139.76590,0.0015,4620000.0,,,C12I*,M03
C12I*_1139,C12I*,1139.51450,0.00881,27200000.0,,,C12I*,M03
C12I*_1139,C12I*,1139.29980,0.00121,6240000.0,,,C12I*,M03
C12I_1139,C12I,1139.08670,0.000542,929000.0,,,C12I,M03-22.01 A&G:7.004
C12I_945,C12I,945.18800,0.2726,100000000.0,,,C12I,Berengut arXiv:1011.4136
C13I**_1658,C13I**,1658.12308,0.0371,361000000.0,13.0,,C13I**,w:Haris Kraisa ApJS17
C13I*_1657,C13I*,1657.90903,0.0494,360000000.0,,,C13I*,HK
C13I*_1657,C13I*,1657.38116,0.0371,360000000.0,,,C13I*,HK
C13I**_1657,C13I**,1657.01004,0.111,361000000.0,13.0,,C13I**,HK Elow=43.414/cm L 1657.0077
C13I_1656,C13I,1656.93033,0.149,360000000.0,,,C13I,HK
C13I*_1656,C13I*,1656.26912,0.0621,361000000.0,,,C13I*,HK Elow=16.417 /cm L 1656.2667
C13I**_1561,C13I**,1561.42037,0.0649,127000000.0,13.0,,C13I**,HK M03 g
C13I**_1561,C13I**,1561.34896,0.000772,127000000.0,13.0,,C13I**,HK M03 g
C13I**_1561,C13I**,1561.32227,0.0116,127000000.0,13.0,,C13I**,HK M03 g
C13I*_1560,C13I*,1560.69110,0.0193,127000000.0,,,C13I*,HK M03g
C13I*_1560,C13I*,1560.66444,0.0581,127000000.0,,,C13I*,HK M03g
C13I_1560,C13I,1560.29133,0.0774,127000000.0,,,C13I,HK M03g-3u
C13I**_1329,C13I**,1329.59016,0.0189,288000000.0,13.0,,C13I**,HK M03g
C13I**_1329,C13I**,1329.56733,0.0569,287000000.0,13.0,,C13I**,Hk M03g
C13I*_1329,C13I*,1329.11308,0.0191,288000000.0,,,C13I*,Hk M03g
C13I*_1329,C13I*,1329.09026,0.0313,287000000.0,,,C13I*,HK M03g
C13I*_1329,C13I*,1329.07479,0.0254,289000000.0,,,C13I*,HK M03g
C13I_1328,C13I,1328.82314,0.0758,288000000.0,,,C13I,HK M03g-4u
C13I**_1288,C13I**,1288.05547,2.01e-05,80900.0,13.0,,C13I**,M03 Aki
C13I*_1287,C13I*,1287.60772,6.03e-05,146000.0,,,C13I*,M03 Aki
C13I**_1280,C13I**,1280.84708,0.00522,106000000.0,13.0,,C13I**,M03g
C13I*_1280,C13I*,1280.59735,0.00704,105000000.0,,,C13I*,M03g
C13I*_1280,C13I*,1280.40433,0.0044,106000000.0,,,C13I*,M03g
C13I**_1280,C13I**,1280.33325,0.0152,117000000.0,13.0,,C13I**,M03g
C13I_1280,C13I,1280.13524,0.0263,106000000.0,,,C13I,M03g-5u
C13I*_1279,C13I*,1279.89085,0.0143,117000000.0,,,C13I*,M03g
